"Name","Distance (LY)","Controlling Faction","Needs Permit","Bodies","Colonised","Economy","Stations","X","Y","Z","Controlling Faction State","Allegiance"
"Lalande 21185","8.28732088795891","Earth Defense Fleet","False","3","True","Military","29","0.3125","7.5625","-3.375","Expansion","Federation"
"UV Ceti","8.58186678409774","Earth Defense Fleet","False","2","True","High Tech","22","-0.1875","-8.3125","-2.125","Expansion","Federation"
"Yin Sector CL-Y d127","9.85619253312353","Earth Defense Fleet","False","2","True","Military","20","1.0625","3.875","-9.0","Expansion","Federation"
"Ross 248","10.3688799720606","Earth Defense Fleet","False","20","True","High Tech","51","-9.3125","-3.03125","-3.40625","Expansion","Federation"
"Struve 2398","11.6388106807569","Movement for LHS 450 Progressive Party","False","10","True","Industrial","19","-10.625","4.75","0.09375","Election","Federation"
"WISE 0350-5658","12.0939518717002","Earth Defense Fleet","False","8","True","Industrial","9","8.28125","-8.8125","-0.15625","Expansion","Federation"
"Kapteyn's Star","12.7623255374951","Crimson Legal & Co","False","8","True","Industrial","40","9.75","-7.46875","-3.46875","Boom","Federation"
"Talta","12.8276587156425","Hutton Orbital Truckers Co-Operative","False","7","True","Refinery","27","5.59375","-5.125","10.34375","None","Independent"
"DEN 1048-3956","13.0931533276938","Earth Defense Fleet","False","1","True","Military","9","12.375","3.84375","1.875","Expansion","Federation"
"UGPS 0722-05","13.393751458236","Earth Defense Fleet","False","12","True","Industrial","36","8.875","0.03125","-10.03125","Expansion","Federation"
"Ross 614","13.4327389821473","Earth Defense Fleet","False","2","True","Military","22","7.3125","-1.34375","-11.1875","Expansion","Federation"
"Wolf 1061","13.9850296634473","Elite Rebel Force","False","1","True","Military","4","-0.84375","5.46875","12.84375","None","Federation"
"WISE 0410+1502","14.0120623259034","Brothers of Lung","False","16","True","Industrial","19","-0.46875","-6.125","-12.59375","Boom","Independent"
"CD-37 15492","14.1712117402677","Hutton Orbital Truckers Co-Operative","False","2","True","High Tech","1","0.96875","-13.78125","3.15625","Boom","Independent"
"Luyten 143-23","14.6242320845404","Hutton Orbital Truckers Co-Operative","False","2","True","Military","4","13.125","-0.75","6.40625","Civil Unrest","Independent"
"LHS 292","14.7358578919756","Earth Defense Fleet","False","2","True","Military","11","10.9375","9.71875","-1.75","Expansion","Federation"
"Bidmere","15.2867768635184","The 18th Division","False","1","True","Military","7","-7.4375","13.21875","1.90625","Expansion","Alliance"
"LHS 2","15.33404097099","Earth Defense Fleet","False","1","True","Military","12","-5.8125","-14.1875","-0.25","Expansion","Federation"
"WISE 1405+5534","15.7628295960782","Sol Workers' Party","False","8","True","High Tech","4","-8.03125","13.4375","-1.84375","None","Federation"
"WX Ursae Majoris","15.8000815860235","Green Party of WISE 1506+7027","False","6","True","Refinery","14","-1.40625","14.15625","-6.875","None","Federation"
"AD Leonis","15.9951774958892","Earth Defense Fleet","False","22","True","Industrial","50","5.5","13.03125","-7.46875","Expansion","Federation"
"Rigga","16.0570880960715","Earth Defense Fleet","False","4","True","Service","11","8.40625","-3.40625","13.25","Expansion","Federation"
"Ministry","16.0599766986911","Earth Defense Fleet","False","1","True","Military","10","15.46875","-4.0","1.625","Expansion","Federation"
"DEN 0255-4700","16.1874396717023","Sirius Corporation","False","11","True","Industrial","3","15.78125","-2.46875","-2.625","Investment","Independent"
"LP 944-020","16.2185091504275","Earth Defense Fleet","False","1","True","High Tech","4","8.0625","-13.03125","-5.3125","Expansion","Federation"
"WISE 1639-6847","16.2819997428141","Barnard's Star Advanced Corp.","False","10","True","Industrial","7","9.875","-4.09375","12.28125","None","Federation"
"WISE J0521+1025","16.3284464681273","Earth Defense Fleet","False","10","True","Industrial","5","3.5","-4.125","-15.40625","Expansion","Federation"
"LHS 451","16.534912165249","Earth Defense Fleet","False","1","True","Military","3","3.875","-2.09375","15.9375","Expansion","Federation"
"EV Lacertae","16.7409607139196","VX9 Defense Corp.","False","11","True","Industrial","7","-16.0","-3.78125","-3.15625","None","Federation"
"EI Cancri","17.0334287597213","Earth Defense Fleet","False","2","True","Military","14","6.3125","10.125","-12.15625","Expansion","Federation"
"LHS 47","17.5561042624781","Wolf 424 Future","False","9","True","Industrial","4","0.71875","16.6875","5.40625","Boom","Federation"
